"Date,""close_price"",""Negara"",""open_price"",""decrease_price"""
2022-05-09,0.3068,Kuwait,0.301,-0.005800000000000027
2022-05-10,0.3064,Kuwait,0.301,-0.005400000000000016
2022-05-11,0.3064,Kuwait,0.301,-0.005400000000000016
2022-05-12,0.3064,Kuwait,0.301,-0.005400000000000016
2022-05-13,0.3064,Kuwait,0.301,-0.005400000000000016
2022-05-16,0.30655,Kuwait,0.301,-0.005549999999999999
2022-05-17,0.30655,Kuwait,0.301,-0.005549999999999999
2022-05-18,0.3063,Kuwait,0.301,-0.005300000000000027
2022-05-19,0.3062,Kuwait,0.301,-0.005200000000000038
2022-05-20,0.30581,Kuwait,0.301,-0.0048100000000000365
2022-05-23,0.30578,Kuwait,0.301,-0.0047800000000000065
2022-05-24,0.30565,Kuwait,0.301,-0.0046499999999999875
2022-05-25,0.3053,Kuwait,0.301,-0.004300000000000026
2022-05-26,0.30531,Kuwait,0.301,-0.004310000000000036
2022-05-27,0.30524,Kuwait,0.301,-0.0042400000000000215
2022-05-30,0.3052,Kuwait,0.301,-0.004200000000000037
2022-05-31,0.30538,Kuwait,0.301,-0.004379999999999995
2022-06-01,0.30566,Kuwait,0.301,-0.0046599999999999975
2022-06-02,0.30575,Kuwait,0.301,-0.004750000000000032
2022-06-03,0.30553,Kuwait,0.301,-0.004530000000000034
2022-06-06,0.30577,Kuwait,0.301,-0.0047699999999999965
2022-06-07,0.30597,Kuwait,0.301,-0.00497000000000003
2022-06-08,0.3057,Kuwait,0.301,-0.0047000000000000375
2022-06-09,0.30595,Kuwait,0.301,-0.00495000000000001
2022-06-10,0.30585,Kuwait,0.301,-0.004850000000000021
2022-06-13,0.30625,Kuwait,0.301,-0.005250000000000032
2022-06-14,0.30654,Kuwait,0.301,-0.005539999999999989
2022-06-15,0.30712,Kuwait,0.301,-0.006120000000000014
2022-06-16,0.30662,Kuwait,0.301,-0.005620000000000014
2022-06-17,0.30611,Kuwait,0.301,-0.005110000000000003
2022-06-20,0.30656,Kuwait,0.301,-0.005560000000000009
2022-06-21,0.30648,Kuwait,0.301,-0.005479999999999985
2022-06-22,0.30658,Kuwait,0.301,-0.005580000000000029
2022-06-23,0.30626,Kuwait,0.301,-0.005259999999999987
2022-06-24,0.30615,Kuwait,0.301,-0.005149999999999988
2022-06-27,0.306,Kuwait,0.301,-0.0050000000000000044
2022-06-28,0.30614,Kuwait,0.301,-0.005140000000000033
2022-06-29,0.30639,Kuwait,0.301,-0.005390000000000006
2022-06-30,0.30615,Kuwait,0.301,-0.005149999999999988
2022-07-01,0.3063,Kuwait,0.301,-0.005300000000000027
2022-07-04,0.30639,Kuwait,0.301,-0.005390000000000006
2022-07-05,0.30635,Kuwait,0.301,-0.005350000000000021
2022-07-06,0.3067,Kuwait,0.301,-0.005699999999999983
2022-07-07,0.3069,Kuwait,0.301,-0.005900000000000016
2022-07-08,0.307,Kuwait,0.301,-0.006000000000000005
2022-07-11,0.30697,Kuwait,0.301,-0.005970000000000031
2022-07-12,0.30731,Kuwait,0.301,-0.006310000000000038
2022-07-13,0.3075,Kuwait,0.301,-0.006500000000000006
2022-07-14,0.3076,Kuwait,0.301,-0.006599999999999995
2022-07-15,0.3076,Kuwait,0.301,-0.006599999999999995
2022-07-18,0.3075,Kuwait,0.301,-0.006500000000000006
2022-07-19,0.3075,Kuwait,0.301,-0.006500000000000006
2022-07-20,0.30694,Kuwait,0.301,-0.005940000000000001
2022-07-21,0.30725,Kuwait,0.301,-0.006250000000000033
2022-07-22,0.30715,Kuwait,0.301,-0.006149999999999989
2022-07-25,0.3069,Kuwait,0.301,-0.005900000000000016
2022-07-26,0.30662,Kuwait,0.301,-0.005620000000000014
2022-07-27,0.30669,Kuwait,0.301,-0.005690000000000028
2022-07-28,0.3069,Kuwait,0.301,-0.005900000000000016
2022-07-29,0.3066,Kuwait,0.301,-0.005599999999999994
2022-08-01,0.3067,Kuwait,0.301,-0.005699999999999983
2022-08-02,0.30609,Kuwait,0.301,-0.005089999999999983
2022-08-03,0.306,Kuwait,0.301,-0.0050000000000000044
2022-08-04,0.3064,Kuwait,0.301,-0.005400000000000016
2022-08-05,0.3062,Kuwait,0.301,-0.005200000000000038
2022-08-08,0.30623,Kuwait,0.301,-0.005230000000000012
2022-08-09,0.3062,Kuwait,0.301,-0.005200000000000038
2022-08-10,0.30622,Kuwait,0.301,-0.005220000000000002
2022-08-11,0.30585,Kuwait,0.301,-0.004850000000000021
2022-08-12,0.30585,Kuwait,0.301,-0.004850000000000021
2022-08-15,0.3062,Kuwait,0.301,-0.005200000000000038
2022-08-16,0.30628,Kuwait,0.301,-0.005280000000000007
2022-08-17,0.30632,Kuwait,0.301,-0.005319999999999991
2022-08-18,0.30645,Kuwait,0.301,-0.00545000000000001
2022-08-19,0.30645,Kuwait,0.301,-0.00545000000000001
2022-08-22,0.30715,Kuwait,0.301,-0.006149999999999989
2022-08-23,0.3071,Kuwait,0.301,-0.006099999999999994
2022-08-24,0.30725,Kuwait,0.301,-0.006250000000000033
2022-08-25,0.30734,Kuwait,0.301,-0.006340000000000012
2022-08-26,0.3073,Kuwait,0.301,-0.006300000000000028
2022-08-29,0.3073,Kuwait,0.301,-0.006300000000000028
2022-08-30,0.30763,Kuwait,0.301,-0.006630000000000025
2022-08-31,0.30763,Kuwait,0.301,-0.006630000000000025
2022-09-01,0.30775,Kuwait,0.301,-0.006750000000000034
2022-09-02,0.3079,Kuwait,0.301,-0.006900000000000017
2022-09-05,0.3081,Kuwait,0.301,-0.007099999999999995
2022-09-06,0.30808,Kuwait,0.301,-0.007080000000000031
2022-09-07,0.30854,Kuwait,0.301,-0.007539999999999991
2022-09-08,0.30871,Kuwait,0.301,-0.007709999999999995
2022-09-09,0.30817,Kuwait,0.301,-0.00717000000000001
2022-09-12,0.30793,Kuwait,0.301,-0.006929999999999992
2022-09-13,0.30775,Kuwait,0.301,-0.006750000000000034
2022-09-14,0.3081,Kuwait,0.301,-0.007099999999999995
2022-09-15,0.3083,Kuwait,0.301,-0.007300000000000029
2022-09-16,0.3085,Kuwait,0.301,-0.007500000000000007
2022-09-19,0.30871,Kuwait,0.301,-0.007709999999999995
2022-09-20,0.30834,Kuwait,0.301,-0.007340000000000013
2022-09-21,0.30845,Kuwait,0.301,-0.007450000000000012
2022-09-22,0.3088,Kuwait,0.301,-0.007800000000000029
2022-09-23,0.30913,Kuwait,0.301,-0.008130000000000026
2022-09-26,0.30945,Kuwait,0.301,-0.008450000000000013
2022-09-27,0.3094,Kuwait,0.301,-0.008400000000000019
