"Date","close_price","Negara","open_price","decrease_price"
2022-03-23,1.35688,Singapura,1.349,-0.00788000000000011
2022-03-24,1.35769,Singapura,1.349,-0.008690000000000087
2022-03-25,1.35738,Singapura,1.349,-0.008380000000000054
2022-03-28,1.3584,Singapura,1.349,-0.009400000000000075
2022-03-29,1.36045,Singapura,1.349,-0.01144999999999996
2022-03-30,1.35597,Singapura,1.349,-0.006969999999999921
2022-03-31,1.35253,Singapura,1.349,-0.003530000000000033
2022-04-01,1.3543,Singapura,1.349,-0.005300000000000082
2022-04-04,1.3566,Singapura,1.349,-0.007600000000000051
2022-04-05,1.3566,Singapura,1.349,-0.007600000000000051
2022-04-06,1.35934,Singapura,1.349,-0.010340000000000016
2022-04-07,1.36032,Singapura,1.349,-0.011319999999999997
2022-04-08,1.36182,Singapura,1.349,-0.012820000000000054
2022-04-11,1.36334,Singapura,1.349,-0.01434000000000002
2022-04-12,1.3651,Singapura,1.349,-0.016100000000000003
2022-04-13,1.36406,Singapura,1.349,-0.015060000000000073
2022-04-14,1.36126,Singapura,1.349,-0.012259999999999938
2022-04-15,1.35624,Singapura,1.349,-0.007239999999999913
2022-04-18,1.35801,Singapura,1.349,-0.009009999999999962
2022-04-19,1.3612,Singapura,1.349,-0.012199999999999989
2022-04-20,1.36762,Singapura,1.349,-0.01862000000000008
2022-04-21,1.3631,Singapura,1.349,-0.014100000000000001
2022-04-22,1.36501,Singapura,1.349,-0.01601000000000008
2022-04-25,1.36986,Singapura,1.349,-0.0208600000000001
2022-04-26,1.37369,Singapura,1.349,-0.0246900000000001
2022-04-27,1.37781,Singapura,1.349,-0.028810000000000002
2022-04-28,1.38077,Singapura,1.349,-0.031770000000000076
2022-04-29,1.3865,Singapura,1.349,-0.03750000000000009
2022-05-02,1.3837,Singapura,1.349,-0.03469999999999995
2022-05-03,1.38564,Singapura,1.349,-0.036640000000000006
2022-05-04,1.38384,Singapura,1.349,-0.03483999999999998
2022-05-05,1.37424,Singapura,1.349,-0.02523999999999993
2022-05-06,1.384,Singapura,1.349,-0.03499999999999992
2022-05-09,1.38753,Singapura,1.349,-0.03852999999999995
2022-05-10,1.38975,Singapura,1.349,-0.040750000000000064
2022-05-11,1.39119,Singapura,1.349,-0.04218999999999995
2022-05-12,1.39023,Singapura,1.349,-0.0412300000000001
2022-05-13,1.3958,Singapura,1.349,-0.04679999999999995
2022-05-16,1.39265,Singapura,1.349,-0.04364999999999997
2022-05-17,1.39077,Singapura,1.349,-0.041770000000000085
2022-05-18,1.38447,Singapura,1.349,-0.03547000000000011
2022-05-19,1.39132,Singapura,1.349,-0.04231999999999991
2022-05-20,1.38092,Singapura,1.349,-0.03191999999999995
2022-05-23,1.38,Singapura,1.349,-0.030999999999999917
2022-05-24,1.37427,Singapura,1.349,-0.025270000000000126
2022-05-25,1.37097,Singapura,1.349,-0.021970000000000045
2022-05-26,1.3743,Singapura,1.349,-0.0253000000000001
2022-05-27,1.37245,Singapura,1.349,-0.02344999999999997
2022-05-30,1.3679,Singapura,1.349,-0.018899999999999917
2022-05-31,1.3666,Singapura,1.349,-0.01760000000000006
2022-06-01,1.36985,Singapura,1.349,-0.020850000000000035
2022-06-02,1.3746,Singapura,1.349,-0.025600000000000067
2022-06-03,1.37,Singapura,1.349,-0.02100000000000013
2022-06-06,1.37504,Singapura,1.349,-0.026040000000000063
2022-06-07,1.37695,Singapura,1.349,-0.02794999999999992
2022-06-08,1.374,Singapura,1.349,-0.025000000000000133
2022-06-09,1.37616,Singapura,1.349,-0.027160000000000073
2022-06-10,1.38252,Singapura,1.349,-0.033519999999999994
2022-06-13,1.39119,Singapura,1.349,-0.04218999999999995
2022-06-14,1.39384,Singapura,1.349,-0.04483999999999999
2022-06-15,1.3921,Singapura,1.349,-0.043099999999999916
2022-06-16,1.3857,Singapura,1.349,-0.036699999999999955
2022-06-17,1.3829,Singapura,1.349,-0.03390000000000004
2022-06-20,1.38841,Singapura,1.349,-0.039409999999999945
2022-06-21,1.3876,Singapura,1.349,-0.03859999999999997
2022-06-22,1.38551,Singapura,1.349,-0.03651000000000004
2022-06-23,1.38712,Singapura,1.349,-0.03811999999999993
2022-06-24,1.38916,Singapura,1.349,-0.040159999999999973
2022-06-27,1.38552,Singapura,1.349,-0.03652000000000011
2022-06-28,1.38536,Singapura,1.349,-0.03635999999999995
2022-06-29,1.38747,Singapura,1.349,-0.038470000000000004
2022-06-30,1.39264,Singapura,1.349,-0.04364000000000012
2022-07-01,1.39014,Singapura,1.349,-0.041139999999999954
2022-07-04,1.3952,Singapura,1.349,-0.04620000000000002
2022-07-05,1.39562,Singapura,1.349,-0.046620000000000106
2022-07-06,1.4048,Singapura,1.349,-0.05580000000000007
2022-07-07,1.4044,Singapura,1.349,-0.055400000000000116
2022-07-08,1.40023,Singapura,1.349,-0.05123000000000011
2022-07-11,1.39884,Singapura,1.349,-0.049840000000000106
2022-07-12,1.40497,Singapura,1.349,-0.055970000000000075
2022-07-13,1.40758,Singapura,1.349,-0.058580000000000076
2022-07-14,1.40701,Singapura,1.349,-0.05801000000000012
2022-07-15,1.4026,Singapura,1.349,-0.05360000000000009
2022-07-18,1.39779,Singapura,1.349,-0.04879000000000011
2022-07-19,1.3969,Singapura,1.349,-0.047900000000000054
2022-07-20,1.39138,Singapura,1.349,-0.042380000000000084
